labels,translated
2,မနေ့က ဆိုးဝါးတဲ့ တုန်လှုပ်မှု ဘေးထွက်ဆိုးကျိုးတွေ ခံစားရလို့ Lexapro ကို သောက်တာရပ်လိုက်တယ်၊ အခု အရင် ရောဂါလက္ခဏာတွေပဲ ခံစားရတယ်၊ တစ်ခုခုလုပ်နေမှာဖြစ်ပြီး ဦးနှောက်က ကောင်းကောင်းအလုပ်လုပ်နေမှာပါ၊ ကိုယ်ဘယ်မှာရှိလဲဆိုတာ မေ့သွားမှာစိုးလို့ပါ၊ အကြောင်းက အရာရာဟာ မရင်းနှီးပုံရလို့ပါ။ စိတ်ယိုယွင်းမှု (သို့) တစ်ခုခုရဲ့ အစောပိုင်းပုံစံတစ်ခု ဖွဲ့နေမှာ စိုးပါတယ်။ ကိုယ်သိသင့်တဲ့ ပတ်ဝန်းကျင်ကို မြင်နေပေမဲ့ မမှတ်မိသလို ခံစားရသလိုမျိုးပါ။ အခြားသူတစ်ဦးက ဒါကို ခံစားရပြီး ပူပန်မှု (သို့) စိတ်ဓာတ်ကျတာလို့ ထင်လား။ ကိုယ့်ကိုယ်ကို ခြေလှမ်းနိုင်ပြီး ဦးနှောက်ဟာ ဦးနှောက်နဲ့ မဆက်သွယ်သလိုမျိုးပါ။ သိသာတာက မှတ်မိနိုင်ပြီး ဦးနှောက်က ကောင်းကောင်းအလုပ်လုပ်နေပုံရတယ်၊ တွေးတာက နာကျင်ပြီး အရမ်းကြောက်တာပဲလေ။ ဒါက အဓိပ္ပါယ်ရှိတယ်လို့ မျှော်လင့်တယ်။ တစ်ခါတစ်လေမှာ မဖြစ်နိုင်တဲ့၊ အိပ်မက်ထဲကလိုမျိုး ခံစားရတယ်။
2,မင်္ဂလာပါ! ပူပန်မှုအတွက် လာမယ့် သောကြာနေ့မှာ ၄ ပတ်ကြာ Zoloft သောက်နေခဲ့တယ်။ နှစ်ပတ်လုံး ၅၀mg နဲ့ ပြီးခဲ့တဲ့ နှစ်ပတ်လုံး ၇၅mg သောက်နေခဲ့တယ်။ ဆိုးတာထက် ကောင်းတဲ့နေ့တွေ ပိုများပေမဲ့ အရမ်း ပင်ပန်းနေတယ်။ အရင်က Zoloft သောက်ပြီး ပူပန်မှုအားလုံး ပျောက်ကွယ်မသွားခင် ၁၀၀mg အထိ တက်ဖို့လိုခဲ့တယ်။ ဒီနေ့ မွန်းလွဲပိုင်းအထိ ကောင်းတဲ့နေ့ပါ။ ပူပန်မှုက မြင့်တက်ပြီး အခုတော့ စိတ်ပျက်စရာပဲ ခံစားရတယ်။ ပုံမှန်ပြန်ဖြစ်ချင်တယ်၊ ခင်ပွန်းနဲ့ သမီးနဲ့အတူ ကိုယ်နှစ်သက်တာတွေကို လုပ်နိုင်ချင်တယ်။ အရင်က အလုပ်ဖြစ်ခဲ့ပြီး နောက်တစ်ခါ အလုပ်ဖြစ်တော့မှာပါ.... ဘာလို့ ကိုယ့်ကိုယ်ကို အယုံသွင်းဖို့ ကြိုးစားနေတာလဲ။ အပြုသဘော သုံးသပ်ချက်ပဲ ပေးပါဦး။
2,Citalopram (၁၀) မီလီဂရမ်ကို သောက်သုံးလာတာ ၄ ပတ်နီးပါးရှိပါပြီ။ မကြာသေးခင်က ကျန်းမာရေးပြဿနာတွေ အများကြီးရှိခဲ့ပေမဲ့ ဒါတွေက အဆင်ပြေမယ်လို့ မျှော်လင့်ပါတယ်။ ဒီ citalopram တွေကို သောက်တာအတွက် ပူပန်နေပေမဲ့ ဒါက နောက်ဆုံးနည်းလမ်းဖြစ်ပြီး မှန်ကန်တဲ့အရာကို လုပ်နေတယ်လို့ မျှော်လင့်ပါတယ်။ ကိုယ့်ဘဝကို ပြန်လိုချင်တယ်၊ ဒါတွေကို တစ်ယောက်ယောက် သောက်မလား၊ ဟေး၊ အကူအညီမပေးခဲ့ဘူးလား၊ ငါလည်း စွဲလမ်းမှာ ကြောက်တယ်၊ အရာတိုင်းကို ပူပန်တယ်၊ x
2,တစ်နေ့ကို ၁ မီလီဂရမ်လောက် Xanax (ညွှန်ကြားချက်) သောက်နေတာ အခုဆို ၁ နှစ်ရှိပါပြီ။ မှတ်ဉာဏ် ချွတ်ယွင်းမှုလေးတွေ သတိထားမိတယ်။ ဒါတွေ ဖြစ်တတ်တယ်လို့ ဖတ်ဖူးတယ်။ ဒါပေမဲ့ ကျွန်မဟာ hypochondriac လည်းဖြစ်တယ်။ ဒီတော့ ဒါက ပိုဆိုးတာ တစ်ခုခုရဲ့ ရလဒ်လို့ စိုးမိတယ်။ ဥပမာ၊ ဒါကို သောက်ပြီးပြီလား မေ့သွားတယ်၊ အချိန်တိုလေးတွေပေါ့။ အရာတွေကို မှတ်မိနိုင်သေးတယ်၊ ကျောင်းမှာ ကောင်းကောင်းလုပ်တယ်။ ဒါကို အခြားသူက Xanax ကနေ တွေ့ကြုံဖူးလား။ ဒါကို ရပ်လိုက်ရင် ပျောက်သွားမှာလား။
2,I've anxiety my whole life pretty much. ဒါက မကြာသေးခင်ကမှ အရမ်းဆိုးသွားတယ်။ မကြာသေးခင်ကမှ ဆရာဝန်ကို တစ်ခါမှ မပြောဖူးဘူး။ ဘေးထွက်ဆိုးကျိုးတွေကြောက်လို့ ဆေးသောက်တာ မုန်းတယ်။ ပထမတော့ Closapam (စာလုံးပေါင်းအတွက် စိတ်မကောင်း) ပေးပြီး ဇွန်ဘီလို ဖြစ်စေခဲ့တယ်။ အလုပ်မလုပ်နိုင်ခဲ့ပေမဲ့ စိတ်ပူနေတုန်းပါ။ Buisporine ပေးပြီး 911 ကို ဖုန်းဆက်တယ်။ အသက်မရှူနိုင်ဘူး။ ဆိုးတဲ့ တုံ့ပြန်မှုမရှိတဲ့ တစ်ခုတည်းသော အရာက Adavan 1 mg ပါ။ တစ်နေ့ကို တစ်ခါ၊ တစ်ခါတစ်လေ ၂ ကြိမ်သောက်တယ်။ တစ်ခါတစ်လေ အလွန်အမင်း အိပ်မောကျစေတယ်။ ဒါပေမဲ့ ဇွန်ဘီလိုမဟုတ်ဘူး။ ကောင်းပြီ၊ တစ်ခါတစ်လေ ကျွန်တော့ကို ထုတ်ပစ်ပြီး Prozac ပေးချင်တယ်။ ဘေးထွက်ဆိုးကျိုးတွေကို မုန်းပြီး ကျွန်တော်ဖတ်တာကို မကြိုက်ဘူး။ ဒီစိတ်ပူမှုက ဘယ်တော့မှ ပိုကောင်းလာမှာ မဟုတ်သလို ခံစားမိတယ်။ ဒီဆေးလုံးတွေအားလုံးက မျှော်လင့်ချက်မဲ့တာလို့ ခံစားမိတယ်။
1,ကျွန်ုပ်သည် ယေဘုယျ ပူပန်မှုရောဂါ၊ ထိတ်လန့်မှု တိုက်ခိုက်မှုများနှင့် စိတ်ဓာတ်ကျခြင်းတို့ဖြင့် နှစ်အနည်းငယ်ကြာ ဝေဒနာခံစားနေရပြီဖြစ်ပြီး နေ့စဉ်နေ့တိုင်း တိုက်ပွဲဖြစ်နေသော်လည်း လက်ရှိအချိန်တွင် ကျွန်ုပ်သည် အကောင်းမြင်နေပါသည်။ ဤရောဂါကို တိုက်ခိုက်ရန် ကျွန်ုပ် စိတ်ဆန္ဒရှိပြီး ထွက်ပြေးခြင်းမဟုတ်ပါ။ လက်ရှိအချိန်တွင် citalopram ကို သောက်နေသော်လည်း ဆေးပြားများအပေါ်သာ မှီခိုနေရန် မလိုပါ - ကျွန်ုပ်သည်လည်း ကုသမှုခံယူနေသည်။ ယောဂကို စမ်းကြည့်ခဲ့သူရှိပါသလား? ကြားဝင်မှု? ရီကီ? ထိုလိုမျိုးအရာများလား။ သို့မဟုတ် အကောင်းမြင်နေရန် အကြံပေးချက်များနှင့် လှည့်ကွက်များကို အလွန်အမင်း ကျေးဇူးတင်ရှိပါမည်။ ကျေးဇူးတင်ပါတယ်။
2,Soya နဲ့ Soya lecithin က ကျွန်တော့်ကို ရောဂါလက္ခဏာတွေပေးတယ် ဦးနှောက်မည်းမှုန့်၊ ရေတိုမှတ်ဉာဏ်ဆုံးရှုံးမှု၊ ကြောက်ရွံ့မှုဒဏ်ရာတွေ ကိုယ်ခန္ဓာတစ်ခုလုံး ပိတ်လိုက်တယ် ဂလူးတိန်နဲ့ Soya ကင်းလွတ်ပြီး ဘဝသစ်ရနေပြီ ဒါပေမဲ့ သတိပေးထားပါ Soya ကင်းလွတ်ဖို့က ခက်ခဲတယ် ကျွန်တော်တို့ အလိုလိုသုံးတဲ့ အရာတိုင်းမှာ ရှိတယ် ကျွန်တော့်ရဲ့ ထိပ်ဆုံးအဆင့်က ဝါးလို့ရတယ် ဆိုယီတွေ အများကြီးပါ ကျွန်မကို ဆေးရုံတင်ထားတယ် ဆရာဝန်တွေက စစ်ဆေးမှုတွေ အများကြီးလုပ်ပေးတယ် နောက်မှာ မိသားစုက ကျွန်တော့်ကို အုန်းသီးလိုကြည့်တယ် အစားအစာတွေထဲမှာ ပါတယ် အလှအပ၊ ပါးစပ်၊ သွားတိုက်ဆေးတွေမှာ ပါတယ် မီးဖိုချေမှုန့်တွေ ချက်ပြုတ်တဲ့အခါမှာ ပါတယ် ကိုယ့်ဆံခြယ်ရည်ထဲမှာ ပါတယ် တစ်ခါသုံး လိပ်ပြာထဲမှာ ပါတယ် ဆေးဝါးတွေ အားလုံးထဲမှာ ပါတယ် စွမ်းအင်သောက်ကုန်တွေထဲမှာ ပါတယ် ဆိုဒါတွေ အများကြီးပါတယ် ကုန်စုံဆိုင်တွေမှာ ပါတယ် ကိုယ့်ဟင်းရွက်ကို ဖုံးထားတဲ့ မုန်လာဥထဲမှာ Neosporin ပါတယ် ဟယ်ရီအက်ဆစ်တွေ ပါတယ် စားသုံးသူတိုင်းမှာ ပေါင် ၉၅% လောက်ချိုရတယ် စားသုံးသူတိုင်းမှာ ပေါင် ၉၅% လောက်ချိုရတယ် နံနပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်ရိပ်
2,အားလုံးမင်္ဂလာပါ ဒီနေရာမှာငါအလွန်ဆိုးဝါးတဲ့မိသားစုဆက်စပ်ကူညီမှုအတွက်လာခဲ့ပါတယ် နောက်ဆုံးအကူအညီတစ်ခုအဖြစ် ..ငါအမှန်တကယ်သိမှာမဟုတ်ပါဘူးဘာလုပ်ရမယ်ဆိုတာငါသိမှာမဟုတ်ပါဘူး။ ပထမဦးဆုံးငါအချို့သမိုင်းကိုပေးပါလိမ့်မယ် ဒီနှစ်အစောပိုင်းတွင်ငါဆိုးဝါးတဲ့ဗိုင်းရပ်စ်ကိုဖမ်းမိခဲ့သည်နှင့်ငါအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူငါအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူငါ၏ဦးနှောက်အတွင်းတွင်ဖိအားခံစားမှုဖြစ်စေခဲ့သည်အလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူငါအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူငါအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူငါအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူငါအလွန်ဆိုးဝါးသောခံစားရသည်နှင့်အတူငါအလွန်ဆိုးဝါးများသောခံစားရသည်နှင့်အတူငါအလွန်ဆိုးဝါးများသောခံစားရသည်နှင့်အတူငါအလွန်ဆိုးဝါးများသောခံစားရသည်နှင့်အတူငါအထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူးထူး
1,"အားလုံးကို မင်္ဂလာပါ။ ကျွန်တော်ဟာ အသက် ၃၈ နှစ်အရွယ် အမျိုးသားဖြစ်ပြီး Gad နဲ့ ထိတ်လန့်မှုရောဂါ ခံစားနေရတယ်။ လွန်ခဲ့တဲ့ နှစ်နှစ်က Sertraline 100 mg ကို သောက်နေခဲ့ပြီး ဒါက ကောင်းပါတယ်။ ပြီးခဲ့တဲ့လက ကျွန်တော့ရဲ့ ပူပန်မှုက ပြန်လည် မြင့်တက်လာပြီး ပြီးခဲ့တဲ့ နှစ်ပတ်အတွင်းမှာ မပြတ်မနား ခေါင်းကိုက်ပြီး ခေါင်းထဲမှာ ဖိအားပြင်းထန်သလို ခံစားရတယ်။ တစ်ခါတစ်လေတော့ ခေါင်းနောက်ဘက်မှာ ခံစားရပြီး ဦးရေပြားဟာ ထိတွေ့မှုမှာ နီးပါးထိခိုက်သလို ခံစားရတယ်။ ဒါကို သက်သာစေဖို့ Xanax, panadol နဲ့ codine ကို စမ်းကြည့်ပေမဲ့ ဘာမှ အလုပ်မဖြစ်ပုံရဘူး။ အခြားသူတွေက ပူပန်မှုနဲ့အတူ (သို့) မပါပဲ ဒီလိုမျိုးခံစားရလား။"
2,လွန်ခဲ့တဲ့ ၄ လက မတော်တဆ အိပ်ဖို့ကြိုးစားရင်း nortryptoline ကို overdose သောက်မိခဲ့တယ်။ (၅ မီလီဂရမ် ၂၀) အဲဒီအချိန်က အရက်မူးနေပေမဲ့ နောက်တစ်နေ့မှာတော့ နှလုံးခုန်တာနဲ့ အခြားဆိုးဝါးတဲ့ ဘေးထွက်ဆိုးကျိုးတွေနဲ့ A&E မှာရှိခဲ့တယ်။ နောက်တစ်လလုံး နှလုံးခုန်တာနဲ့ အိပ်လို့မရခဲ့ဘူး။ အရမ်းကို နေမကောင်းဖြစ်မိတယ်။ အဲဒီလအပြီးမှာ ကျွန်မဟာ အရက်မူးနေသလို ၂၄ နာရီ ၇ နာရီ မအိပ်နိုင်ဖြစ်ခဲ့ပြီး ရင်ဘတ်မှာ တင်းကျပ်တဲ့ ခံစားမှုတစ်ခုရှိခဲ့တယ်၊ ဒါက ကြောက်စရာကောင်းတဲ့ လကနေ ပူပန်မှုလိုပဲလို့ထင်မိပြီး တစ်ပတ်ကို ၃ ညအလယ်မှာ ဝမ်းဗိုက်ဒဏ်ကို ခံစားရတယ်၊ ပုံမှန်အတိုင်းပဲ ဆက်လက်နေခဲ့တယ်။ ဒီကိုထွက်ပြီး သောက်တယ်၊ အဲဒီမှာ သိပ်မဆိုးခဲ့ဘူး၊ တကယ်က သောက်ပြီးနောက် နည်းနည်း ပိုမူးသွားတာ ခံစားရတယ်၊ မကြာသေးခင်က သောက်ပြီးနောက် နည်းနည်း ပိုဆိုးခဲ့တာက ဝမ်းဗိုက်နဲ့ သက်တောင့်သက်သာဖြစ်မှုပါ၊ အစားအစာကို စားပြီးနောက် အတော်ဆိုးလွန်းတော့ နောက်ထပ် အစာစားဖို့ ပြေးတော့ ဆရာဝန်ဆီသွားပြီး ဝမ်းဗိုက်နဲ့ ဝမ်းဗိုက်ကို ပြသပြီး မကြာသေးခင်မှာ စိတ်ဖိစီးမှု ပိုခံစားရတယ်လို့ ပြောတယ်။
